Type of Establishment,Point Name,Latitude,Longitude,Distance (m),No.of People,Source,,,,
Store,NEELIMA NATURAL FOOD'S,17.529288,78.392436,0,,,,,,
Fitness Center,Step Up Dance Institute & Zumba Fitness studio,17.529386,78.392425,10.95958014,300,,,,,
Fitness Center,Pragna Yoga Studio,17.529171,78.392663,27.36014864,300,,,,,281
Fitness Center,BR'S Kingdom Fitness GYM,17.529903,78.392415,68.42108836,300,,,,,142
School,Pragathi Central Juniors,17.527715,78.392316,175.37181,281,Link,,,,35
School,Pragathi Central,17.527715,78.392316,175.37181,3561,Link,,,,427
School,"Sreenidhi Global School, Pragathi Nagar",17.530926,78.394382,275.2246332,468,Link,,,,1286
Fitness Center,WEIGHT LOSS HERBALIFE NUTRITION & COACH,17.527617,78.394873,318.268006,300,,,,,434.2
Fitness Center,Cross X Fitness Box Pragathi Nagar,17.526927,78.394495,341.447334,300,,,,,
School,Butterflies Playschool & Daycare,17.525752,78.392952,396.9737166,434.2,,,,,
School,EuroKids Preschool at Pragathinagar,17.525719,78.392009,399.429038,142,Link,,,,
School,Spring Board International PreSchool,17.527519,78.396574,480.8354477,35,Link,,,,
Fitness Center,ULTRA MUSCLE GYM,17.525506,78.394951,497.9628689,300,,,,,
Fitness Center,"Uma's Fitness Studio (Zumba, Aerobics, Yoga)",17.525077,78.394045,498.3542723,300,,,,,
School,Cynthia International School,17.526102,78.396984,598.3775373,434.2,,,,,
School,Dhyanahitha School,17.536037,78.393171,754.4901447,434.2,,,,,
Fitness Center,F99 FIT - Available at cult.fit Gyms,17.522862,78.395446,782.5781677,300,,,,,
Fitness Center,Kreaative Fitness Pragathi Nagar,17.53634,78.393691,795.3569579,300,,,,,
Fitness Center,Jaguar Gym,17.52249,78.396503,870.2617228,300,,,,,
School,Bachpan Play School in Pragathi Nagar,17.52098,78.395621,983.6022796,427,Link,,,,
Fitness Center,Stark Fitness Studio - Available on cult.fit,17.538402,78.393615,1021.111387,300,,,,,
School,VRS Vignana Jyothi School,17.53729,78.38627,1104.143783,1411,Link,,,,
Fitness Center,J3 FITNESS PLANET GYM,17.535465,78.401477,1179.281137,300,,,,,
School,Neo Geetanjali,17.52058,78.39926,1208.775482,1286,Link,,,,
Function Hall,Sri Krishna Garden AC Function Hall,17.52381,78.39531,681.1020331,400,,,,,
Function Hall,KGR Convension,17.54077,78.39254,1276.787765,400,,,,,
Function Hall,NAN Convension,17.53225,78.39502,428.4205854,400,,,,,
College,Potti Sriramulu Eng College,17.53383,78.38511,926.5279563,1130,Link,,,,
College,VNR Vijnayna Jyothi College,17.53875,78.3854,1289.772003,8220,Link,,,,